"librairie";"table";"var";"libelle";"andeb";"anfin";"jointure";"commentaire";"type";"longueur";"droits"
"hadxxbd";"acte";"acte";"Acte CCAM + phase";16;26;"";"";"Caractère";8;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"acte";"acte_activ";"Activité de l'acte";16;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"acte";"acte_date_valide";"Dates de validité de l'acte compatibles avec les dates de la sousséquence";16;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"acte";"acte_delai";"Délai de réalisation de l'acte";16;26;"";"En jours : [date de réalisation de l'acte - date de début de la sousséquence]";"Numérique";8;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"acte";"acte_ext_doc";"Extension documentaire";16;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"acte";"acte_nbfois";"Nombre de réalisations de l'acte";16;26;"";"";"Numérique";4;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"acte";"extension_pmsi";"Extension PMSI du code CCAM";16;26;"";"";"Caractère";2;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"acte";"ident";"Clé de jointure";16;26;"1";"Identifiant sur 6 caractères permettant la jointure entre les différentes tables. Il est répété autant de fois qu'il y a d'actes dans la sous-séquence";"Caractère";6;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"acter";"acte_nbfois";"Nombre de réalisations";25;26;"";"";"Numérique";8;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"acter";"date";"Date de réalisation";25;26;"";"";"Numérique";8;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"acter";"ident";"Clé de jointure";25;26;"";"";"Caractère";6;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"acter";"intervenant";"Code intervenant";25;26;"";"";"Caractère";2;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"acter";"intervention";"Code intervention";25;26;"";"";"Caractère";5;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"acter";"mod_temps";"Code modulateur de temps";25;26;"";"";"Caractère";2;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"acter";"per_annee";"Année période de transmission";25;26;"";"";"Caractère";4;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"acter";"per_mois";"Mois période de transmission";25;26;"";"";"Caractère";2;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"acter";"pluri_pro";"Modalité pluriprofessionnelle";25;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"ano_fact";"art_51";"Identification des séjours  relevant dune
expérimentation Art.51";22;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"ano_fact";"cmu";"Patient bénéficiaire de la CMU";16;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"ano_fact";"confirme_urg";"Confirmation de la prise en charge dans le cadre du dispositif des soins urgents";16;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"ano_fact";"cr_art_51";"Code retour Identification des séjours  relevant dune expérimentation Art.51";22;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"ano_fact";"cr_caisse_gest";"Code retour contrôle N° caisse gestionnaire";16;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"ano_fact";"cr_centre_gest";"Code retour contrôle N° caisse gestionnaire";16;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"ano_fact";"cr_cmu";"Code retour contrôle Patient bénéficiaire de la CMU";16;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"ano_fact";"cr_confirme_urg";"Code retour contrôle Confirmation de la prise en charge dans le cadre du dispositif des soins urgents";16;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"ano_fact";"cr_exo_tm";"Code retour contrôle  code justification d'exonération du ticket modérateur ";16;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"ano_fact";"cr_fact18e";"Code retour contrôle  facturation des 18 euros ";16;18;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"ano_fact";"cr_factam";"Code retour contrôle  séjour facturable à l'assurance maladie ";16;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"ano_fact";"cr_first_ano_date";"code retour de l'identifiant de première hospitalisation";17;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"ano_fact";"cr_gdregime";"Code retour code grand régime";16;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"ano_fact";"cr_gestion";"Code retour contrôle code gestion";16;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"ano_fact";"cr_id_anohosp";"Code retour contrôle Identifiant anonyme d'hospitalisation";16;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"ano_fact";"cr_ins";"Code retour identifiant national de santé anonymisé";22;26;"";"";"Caractère";1;"ATIH, ARS, FD, INSTI, AGENCE, ETAB"
"hadxxbd";"ano_fact";"cr_mnt_br";"Code retour contrôle  montant base remboursement";16;26;"";"";"Caractère";1;"ATIH, ARS, INSTI"
"hadxxbd";"ano_fact";"cr_mnt_fj";"Code retour contrôle  montant à facturer au titre du forfait journalier ";16;26;"";"";"Caractère";1;"ATIH, ARS, INSTI"
"hadxxbd";"ano_fact";"cr_mnt_maj";"Code retour contrôle  montant lié à la majoration au parcours de soin";16;26;"";"";"Caractère";1;"ATIH, ARS, INSTI"
